decision,notes,already_on_site,name,rating,reviews,price,cuisine,category,suggested_types,flag,address,postal_code,opening_hours,phone,website,maps_url,suggested_id,price_band,lat,lng,place_id
,,,Restaurant Rataskaevu 16,4.8,6587,,,Restaurant,restaurant,,"Rataskaevu tn 16, 10123 Tallinn",10123,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-23:00,+372 642 4025,http://rataskaevu16.ee/,https://maps.google.com/?cid=769019694017834454,restaurant-rataskaevu-16,,59.436926,24.742430,ChIJAcfoe2KTkkYR1m02V1YbrAo
,,,Vegan Restoran V,4.8,3245,$$,Vegan / Vegetarian,Vegan Restaurant,restaurant; vegan,,"Rataskaevu tn 12, 10123 Tallinn",10123,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-23:00,+372 626 9087,http://www.veganrestoran.ee/,https://maps.google.com/?cid=3596886369407509786,vegan-restoran-v,2,59.437158,24.742531,ChIJofpVY2KTkkYRGqX6iRi16jE
,,,Väike-rataskaevu​,4.8,1546,$$,,Restaurant,restaurant,,"Niguliste tn 6, 10123 Tallinn",10123,Mon 18:00-23:00; Tue 18:00-23:00; Wed 18:00-23:00; Thu 18:00-23:00; Fri 18:00-00:00; Sat 12:00-00:00; Sun 18:00-23:00,+372 601 1311,http://rataskaevu16.ee/,https://maps.google.com/?cid=5539592102894662136,vaike-rataskaevu,2,59.436425,24.742901,ChIJIXcwdmKTkkYR-HGY5aqV4Ew
,,,Restoran Mimosa,4.8,1426,$$,,Restaurant,restaurant,,"Viljandi mnt 6, 11214 Tallinn",11214,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-22:00; Sat 12:00-22:00; Sun closed,+372 631 3001,http://www.restoranmimosa.ee/,https://maps.google.com/?cid=2938695815374271043,restoran-mimosa,2,59.391476,24.728022,ChIJ0dFwitiUkkYRQ3JPMkZYyCg
,,,The Kurze,4.8,1220,$$,,Restaurant,restaurant,,"Kopli tn 23, 10412 Tallinn",10412,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-21:00,+372 5682 2238,https://thekurze.ee/,https://maps.google.com/?cid=17296156696795361959,the-kurze,2,59.444223,24.721698,ChIJfcbci8STkkYRpzL7c-BKCPA
,,,MyShisha Estonia - Mere resto,4.8,1062,$$,Japanese,Hookah Bar,pub; asian,,"Mere pst 4, 10111 Tallinn",10111,Mon 13:00-23:00; Tue 13:00-23:00; Wed 13:00-00:00; Thu 13:00-00:00; Fri 13:00-02:00; Sat 13:00-02:00; Sun 13:00-23:00,+372 889 8888,http://shisha-estonia.ee/,https://maps.google.com/?cid=1272603195919251775,myshisha-estonia-mere-resto,2,59.438238,24.754350,ChIJi_xRHmGTkkYRPznLON0xqRE
,,,Veinirestoran Dominic,4.8,635,$$$,Italian,Restaurant,restaurant,,"Vene tn 10, 10123 Tallinn",10123,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun closed,+372 641 0400,https://www.restoran.ee/,https://maps.google.com/?cid=1163440819741877401,veinirestoran-dominic,3,59.437553,24.747300,ChIJu1VyJmKTkkYRmWTn6UJfJRA
,,,Rohe,4.8,545,$$,Vegan / Vegetarian,Vegan Restaurant,restaurant; vegan,,"Kopli tn 4, 10416 Tallinn",10416,Mon 09:00-21:00; Tue 09:00-21:00; Wed 09:00-21:00; Thu 09:00-21:00; Fri 09:00-21:00; Sat 09:00-21:00; Sun 09:00-21:00,+372 437 0095,http://www.rohekohvik.ee/,https://maps.google.com/?cid=16572602546247991922,rohe,2,59.441249,24.738167,ChIJx8U92MqTkkYRcoLY3DW2_eU
,,,In The 372 - Malaysian Kitchen - A Hidden Food Paradise,4.8,513,$$,Malaysian,Malaysian Restaurant,restaurant; asian,,"West Annex, Kopli tn 4, 10416 Tallinn",10416,Mon closed; Tue 17:00-21:30; Wed 16:00-21:30; Thu 17:00-21:30; Fri 17:00-21:30; Sat 13:00-21:30; Sun 13:00-21:30,+372 5851 2800,https://www.inthe372.ee/,https://maps.google.com/?cid=444719088875878959,in-the-372-malaysian-kitchen-a-hidden-food-paradise,2,59.441226,24.737387,ChIJHYfk4bqTkkYRLzpItaf1KwY
,,,KOGU Resto,4.8,468,$$$,,Restaurant,restaurant,,"Võrgu tn 6, 10415 Tallinn",10415,Mon closed; Tue 17:00-23:00; Wed 17:00-23:00; Thu 17:00-23:00; Fri 17:00-23:00; Sat 12:00-23:00; Sun 12:00-20:00,+372 550 1621,https://koguresto.ee/,https://maps.google.com/?cid=8861035876254323644,kogu-resto,3,59.445393,24.747801,ChIJFdzatuGTkkYRvJMhgi65-Ho
,,,"Port Desina Bistroo, Pitsa, Sushi, Šašlõkk",4.8,456,$,,Bistro,restaurant; cheap-eats,,"Paavli 1, Kopli tn 33, 10412 Tallinn",10412,Mon 09:00-19:00; Tue 09:00-19:00; Wed 09:00-19:00; Thu 09:00-19:00; Fri 09:00-22:00; Sat 11:00-22:00; Sun 11:00-19:00,+372 5822 5654,http://www.portdesina.ee/,https://maps.google.com/?cid=3338760764234988615,port-desina-bistroo-pitsa-sushi-saslokk,1,59.450112,24.708478,ChIJLa8A0V-TkkYRR_w8vjmpVS4
,,,Shaurma Kebab Õismäe,4.8,453,$,Middle Eastern,Turkish Restaurant,restaurant; cheap-eats,,"Õismäe tee 1c, 13511 Tallinn",13511,Mon 00:00-24:00; Tue 00:00-24:00; Wed 00:00-24:00; Thu 00:00-24:00; Fri 00:00-24:00; Sat 00:00-24:00; Sun 00:00-24:00,+372 5800 0808,https://shaurmakebab.ee/et,https://maps.google.com/?cid=11214898010542713224,shaurma-kebab-oismae,1,59.413139,24.654397,ChIJW74Q0COVkkYRiCmiTlJSo5s
,,,Pizzer,4.8,404,$$,Pizza,Pizza Restaurant,restaurant,,"Toompuiestee 37, 10149 Tallinn",10149,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-21:00; Sat 12:00-21:00; Sun 12:00-21:00,+372 550 2128,https://www.facebook.com/pizzeripizza/,https://maps.google.com/?cid=10372499915162989789,pizzer,2,59.440722,24.737686,ChIJRWkl2XyTkkYR3TQPjLeF8o8
,,,Garden Cafe,4.8,389,$$,,Restaurant,restaurant,,"Vana-Kalamaja tn 7a, 10412 Tallinn",10412,Mon closed; Tue 12:00-21:00; Wed 10:00-21:00; Thu 10:00-21:00; Fri 10:00-22:00; Sat 10:00-22:00; Sun 11:00-19:00,+372 550 4900,http://www.flowergarden.ee/,https://maps.google.com/?cid=8985909993158455547,garden-cafe,2,59.442511,24.737996,ChIJu0KfZUCTkkYR-7DXhYddtHw
,,,Como restoran & pizzeria,4.8,307,$$,Italian,Italian Restaurant,restaurant,,"Narva mnt 36, 10120 Tallinn",10120,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-22:00,+372 554 1451,http://www.comorestoran.ee/,https://maps.google.com/?cid=8991008083365107301,como-restoran-pizzeria,2,59.438201,24.771510,ChIJbXAHLgCTkkYRZZakJTd6xnw
,,,New Thai Kalamaja,4.8,304,$$,Thai,Thai Restaurant,restaurant; asian,,"Vana-Kalamaja tn 18, 10414 Tallinn",10414,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-21:00; Sat 13:00-21:00; Sun 13:00-21:00,+372 5665 3952,http://newthai.ee/,https://maps.google.com/?cid=2313182755448457131,new-thai-kalamaja,2,59.443953,24.738111,ChIJ8xcZO7uTkkYRq4cQ13UTGiA
,,,Kooker Kadaka tee,4.8,272,$,,Restaurant,restaurant; cheap-eats,,"Kadaka tee 5, 10621 Tallinn",10621,Mon 07:30-20:00; Tue 07:30-20:00; Wed 07:30-20:00; Thu 07:30-20:00; Fri 07:30-20:00; Sat 07:30-20:00; Sun 07:30-20:00,+372 5192 0709,https://kooker.ee/,https://maps.google.com/?cid=11499699043828444775,kooker-kadaka-tee,1,59.415973,24.680887,ChIJY7lAV7WVkkYRZy5LM1ojl58
,,,Kleo Gastro,4.8,271,$$,,Restaurant,restaurant,,"Pikk tn 37-A, 10133 Tallinn",10133,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-21:00,+372 524 3533,https://www.facebook.com/kleogastropub/,https://maps.google.com/?cid=16705180628810654479,kleo-gastro,2,59.439261,24.746613,ChIJHZmHcfGTkkYRD-P-KEa51Oc
,,,Ports Kitchen & Bar,4.8,271,$$,,Restaurant,restaurant,,"Pikk tn 36, 10133 Tallinn",10133,Mon 12:00-22:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-01:00; Sat 12:00-01:00; Sun 12:00-22:00,+372 5698 2886,https://ports.ee/,https://maps.google.com/?cid=16672793497553966913,ports-kitchen-bar,2,59.439769,24.747163,ChIJMdIrl8WTkkYRQZcli1mpYec
,,,Kooker Raekoja plats,4.8,247,$,,Restaurant,restaurant; cheap-eats,,"Tallinna raekoda, Raekoja plats 1, 10146 Tallinn",10146,Mon 11:00-20:00; Tue 11:00-20:00; Wed 11:00-20:00; Thu 11:00-20:00; Fri 10:00-20:00; Sat 10:00-20:00; Sun 10:00-20:00,+372 5197 1231,https://kooker.ee/,https://maps.google.com/?cid=9121891510279279569,kooker-raekoja-plats,1,59.437021,24.744984,ChIJ82k5pBqTkkYR0RPZrf93l34
,,,KÜÜSLAUK - Wok & Kebab,4.8,226,$$,,Restaurant,restaurant,,"Sadama tn 7, 10111 Tallinn",10111,Mon 11:30-21:00; Tue 11:30-21:00; Wed 11:30-21:00; Thu 11:30-21:00; Fri 11:30-21:00; Sat 11:30-21:00; Sun 12:00-20:00,+372 5424 0020,http://www.kuuslauk.eu/,https://maps.google.com/?cid=4638692778599232040,kuuslauk-wok-kebab,2,59.444461,24.754755,ChIJ6TVYVt6TkkYRKLKTWoHyX0A
,,,Kaheksa,4.8,211,$$,Spanish,Tapas Restaurant,restaurant,,"Suur-Karja tn 8, 10140 Tallinn",10140,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-22:00,+372 5886 8213,http://www.kaheksas.ee/,https://maps.google.com/?cid=5803404787744546936,kaheksa,2,59.435709,24.746088,ChIJU9O32D2TkkYReKBQHejViVA
,,,Nunne Õllekoda,4.8,183,$$,,Restaurant,restaurant,,"Rüütli 28, 10130 Tallinn",10130,Mon 12:00-20:00; Tue 12:00-20:00; Wed 12:00-20:00; Thu 12:00-22:00; Fri 12:00-22:00; Sat 12:00-00:00; Sun closed,+372 502 8901,https://www.facebook.com/nunneollekoda/,https://maps.google.com/?cid=6917640649224917211,nunne-ollekoda,2,59.434816,24.741761,ChIJtx3AcwCVkkYR25Da7IRlAGA
,,,TukTuk,4.8,178,$$,Thai,Thai Restaurant,restaurant; asian,,"Tulika tn 19B, 10613 Tallinn",10613,Mon 11:00-21:00; Tue 11:00-21:00; Wed 11:00-21:00; Thu 11:00-21:00; Fri 11:00-21:00; Sat 12:00-21:00; Sun 12:00-20:00,+372 5619 3504,https://www.facebook.com/Tuktutaifoods/,https://maps.google.com/?cid=10760413053039670790,tuktuk,2,59.429250,24.720329,ChIJ6yq6WzzrkkYRBvbnHqmqVJU
,,,Hungry Papa,4.8,158,$$,American,Hamburger Restaurant,restaurant,,"Tähesaju tee 11, 13917 Tallinn",13917,Mon closed; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-22:00; Fri 12:00-22:55; Sat 12:00-22:55; Sun 12:00-22:55,+372 5605 0130,https://hungrypapa.choiceqr.com/delivery/section:menuu-ja-tellimine,https://maps.google.com/?cid=12825846691712885789,hungry-papa,2,59.442981,24.855783,ChIJuaUoR5vtkkYRHWQqo5yP_rE
,,,Anatoolia Restoran,4.8,146,$$,,Restaurant,restaurant,,"Pärnu mnt. 146-51, 11317 Tallinn",11317,Mon 11:00-22:00; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-22:00; Fri 11:00-22:00; Sat 11:00-22:00; Sun 11:00-20:00,+372 5552 2628,http://www.anatoolia.eu/,https://maps.google.com/?cid=8197321466929495301,anatoolia-restoran,2,59.410028,24.735592,ChIJA15ccMqVkkYRBT0EYnG8wnE
,,,Le Lac Restoran,4.8,146,$$,,Restaurant,restaurant,,"Hotell Ülemiste, Lennujaama tee 2, 11101 Tallinn",11101,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-22:00; Sat 12:00-22:00; Sun 12:00-22:00,+372 698 9616,https://lelac.ee/,https://maps.google.com/?cid=3475927872371723531,le-lac-restoran,2,59.419633,24.793935,ChIJeUZdJrTrkkYRC42Y0fv5PDA
,,,Morel Bistroo,4.8,142,$$,,Restaurant,restaurant,,"Toom-Kuninga tn 21, 10122 Tallinn",10122,Mon 12:00-22:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 11:00-23:00; Sun closed,+372 517 3121,https://www.instagram.com/morelbistroo/,https://maps.google.com/?cid=12356734503417428679,morel-bistroo,2,59.426694,24.736032,ChIJ9eDhaQCVkkYRxzoC5I_we6s
,,,Best Fries,4.8,140,$,,Fast Food Restaurant,restaurant; cheap-eats,,"Viru 26, 10140 Tallinn",10140,Mon 11:00-00:00; Tue 11:00-00:00; Wed 11:00-00:00; Thu 11:00-00:00; Fri 11:00-04:00; Sat 11:00-04:00; Sun 11:00-00:00,+372 5786 7400,https://golden-fry-conversion.lovable.app/,https://maps.google.com/?cid=9201248661160394376,best-fries,1,59.436467,24.750493,ChIJ3fx2SACTkkYRiP6AMuhmsX8
,,,Lumen Restaurant,4.8,134,$$$$,,Restaurant,restaurant; fine-dining,,"Rataskaevu tn 8, 10123 Tallinn",10123,Mon 17:00-23:00; Tue 17:00-23:00; Wed 17:00-23:00; Thu 17:00-23:00; Fri 14:00-23:00; Sat 14:00-23:00; Sun 12:00-21:00,+372 5451 1164,http://www.lumenresto.ee/,https://maps.google.com/?cid=13815012630074436081,lumen-restaurant,4,59.437278,24.742650,ChIJaVxO2wmTkkYR8Skfv8rIuL8
,,,Kodu Coffee Roaster,4.8,123,$,,Coffee Shop,coffee; cheap-eats,,"Sadama tn 4, 10111 Tallinn",10111,Mon 08:00-18:00; Tue 08:30-18:00; Wed 08:30-18:00; Thu 08:00-18:00; Fri 08:00-18:00; Sat 08:00-18:00; Sun 08:00-18:00,+372 5690 6266,https://www.kodu.coffee/,https://maps.google.com/?cid=12950556719705897052,kodu-coffee-roaster,1,59.443675,24.755790,ChIJa3N4WbqTkkYRXDieubieubM
,,,Riva restoran,4.8,122,$$$$,,Restaurant,restaurant; fine-dining,,"Sadama tn 4-Ankur building, 10111 Tallinn",10111,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 11:00-21:00,+372 511 1457,https://riva-resto.ee/,https://maps.google.com/?cid=13083510621575911686,riva-restoran,4,59.443615,24.755318,ChIJad0PPgCTkkYRBhkVRpf3kbU
,,,Meathub Resto Bar,4.8,112,,,Restaurant,restaurant,,"Vene tn 6-1, 10123 Tallinn",10123,Mon 12:00-02:00; Tue 12:00-02:00; Wed 12:00-02:00; Thu 12:00-02:00; Fri 12:00-04:00; Sat 12:00-04:00; Sun 12:00-02:00,+372 5594 0440,https://meathub.ee/,https://maps.google.com/?cid=12679876530616700519,meathub-resto-bar,,59.437234,24.746889,ChIJ9dJS3zeTkkYRZ444E4b4968
,,,Aarde Pagari Leivabaar,4.8,111,$$,,Restaurant,restaurant,,"Telliskivi tn 60a-1, 10412 Tallinn",10412,"Mon 08:30-14:00; Tue 08:30-14:00; Wed 08:30-14:00; Thu 08:30-14:00, 18:00-23:00; Fri 08:30-14:00, 18:00-23:00; Sat 08:30-14:00, 18:00-23:00; Sun 08:30-14:00",+372 528 9933,http://www.aardepagar.ee/,https://maps.google.com/?cid=12660027096262369979,aarde-pagari-leivabaar,2,59.439556,24.728510,ChIJp27kJKaVkkYRu-KJf5Fzsa8
,,,BEP,4.8,111,$$,,Restaurant,restaurant,,"Kalma tn 11, 10414 Tallinn",10414,Mon 11:30-21:00; Tue 11:30-21:00; Wed 11:30-21:00; Thu 11:30-21:00; Fri 11:30-21:00; Sat 12:00-21:00; Sun 12:00-21:00,+372 5470 0076,https://www.bep.ee/,https://maps.google.com/?cid=17606840652751868985,bep,2,59.443047,24.735100,ChIJX6YpWhSTkkYROZQu5EkQWPQ
,,,Puusepa pitsa,4.8,95,$$,Pizza,Pizza Restaurant,restaurant,,"Marati tn 5, 11712 Tallinn",11712,Mon closed; Tue closed; Wed 14:00-21:00; Thu 14:00-21:00; Fri 16:00-22:00; Sat 12:00-22:00; Sun 12:00-19:00,+372 5626 7004,https://www.puusepapitsa.ee/,https://maps.google.com/?cid=17323302953276133287,puusepa-pitsa,2,59.456012,24.673880,ChIJ6b1hAgCTkkYRp89_0kC8aPA
,,,Veska Grill & Coffee,4.8,91,$,,Restaurant,restaurant; cheap-eats,,"Haabersti tn 3, 13516 Tallinn",13516,Mon 10:00-20:00; Tue 10:00-20:00; Wed 10:00-20:00; Thu 10:00-20:00; Fri 10:00-20:00; Sat 10:00-18:00; Sun 10:00-16:00,+372 5437 0301,http://www.veskagrill.ee/,https://maps.google.com/?cid=13788921564755177881,veska-grill-coffee,1,59.426141,24.644371,ChIJiwrwqD6UkkYRmbH0NhsXXL8
,,,APPETHAIZER - Thai cuisine,4.8,86,$,Thai,Thai Restaurant,restaurant; asian; cheap-eats,,"Urva tn 2, 12012 Tallinn",12012,Mon 12:00-19:00; Tue 12:00-19:00; Wed 12:00-19:00; Thu 12:00-19:00; Fri 12:00-19:00; Sat closed; Sun closed,+372 5306 2062,https://www.facebook.com/profile.php?id=100092391288155,https://maps.google.com/?cid=18090892524587156516,appethaizer-thai-cuisine,1,59.458115,24.830530,ChIJVR8qN4ftkkYRJITJxebCD_s
,,,Vixen Steakhouse,4.8,86,,,Restaurant,restaurant,,"Lai 44, 10133 Tallinn",10133,Mon closed; Tue closed; Wed 17:00-22:00; Thu 17:00-22:00; Fri 17:00-22:00; Sat 17:00-22:00; Sun 17:00-22:00,+372 5883 7200,https://www.vixen.ee/steakhouse,https://maps.google.com/?cid=5803098628273434638,vixen-steakhouse,,59.440737,24.746779,ChIJuQDZRyuTkkYRDnDLznS_iFA
,,,Bunz Smash Burgers,4.8,77,$$,American,Hamburger Restaurant,restaurant,,"Odra tn 16, 10144 Tallinn",10144,Mon 11:30-23:00; Tue 11:30-23:00; Wed 11:30-23:00; Thu 11:30-23:00; Fri 11:30-23:00; Sat 11:00-23:00; Sun 11:00-21:00,+372 553 1289,https://bunz.ee/en/,https://maps.google.com/?cid=3514267080740346880,bunz-smash-burgers,2,59.427746,24.771901,ChIJb7aILRCVkkYRAJxgYUovxTA
,,,Kaja Pizza Köök,4.7,2477,$$,Pizza,Pizza Restaurant,restaurant,,"Õle tn 33, 10319 Tallinn",10319,Mon 11:30-19:00; Tue 11:30-19:00; Wed 11:30-19:00; Thu 11:30-19:00; Fri 11:30-19:00; Sat 11:30-19:00; Sun 11:30-19:00,+372 660 1611,http://kajapizza.ee/,https://maps.google.com/?cid=7672612065864270912,kaja-pizza-kook,2,59.439580,24.717237,ChIJvU1yboCUkkYRQEQ3zQWYemo
,,,Odesa Restaurant,4.7,2375,$$,Ukrainian,Ukrainian Restaurant,restaurant,,"Pikk tn 30, 10133 Tallinn",10133,Mon 16:00-23:00; Tue 11:00-23:00; Wed 11:00-23:00; Thu 11:00-23:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-23:00,+372 5302 5557,http://www.odessaresto.ee/,https://maps.google.com/?cid=17926067149592558,odesa-restaurant,2,59.439187,24.747139,ChIJj7Lgy2OTkkYR7terwKmvPwA
,,,Pelmen kohvik,4.7,2080,$$,,Restaurant,restaurant,,"Vana-Viru tn 4-8, 10111 Tallinn",10111,Mon 11:00-22:00; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-23:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-22:00,+372 5304 8912,http://www.pelmen.ee/,https://maps.google.com/?cid=17923764673253337112,pelmen-kohvik,2,59.436872,24.750401,ChIJlaIvAoCTkkYRGOj1kgEBvvg
,,,Nikolay Bar-buffeé,4.7,1968,$$,,Cafe,coffee,,"Gonsiori tn 10, 10117 Tallinn",10117,Mon 09:00-21:00; Tue 09:00-21:00; Wed 09:00-21:00; Thu 09:00-21:00; Fri 09:00-21:00; Sat 09:00-21:00; Sun 10:00-21:00,+372 673 2060,http://nikolay.ee/,https://maps.google.com/?cid=6664369559631362114,nikolay-bar-buffee,2,59.434932,24.761269,ChIJpTuWpV-TkkYRQvjAHc6YfFw
,,,Tuljak,4.7,1524,$$$,European,Restaurant,restaurant,,"Pirita tee 26e, 12011 Tallinn",12011,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-22:00,+372 5302 2020,http://www.tuljak.ee/,https://maps.google.com/?cid=12634105294925058048,tuljak,3,59.448431,24.806755,ChIJGYdT9zWTkkYRANDjztNbVa8
,,,Kentmanni Sõõrikukohvik,4.7,1263,$,,Cafeteria,coffee; cheap-eats,,"Kentmanni tn 21, 10116 Tallinn",10116,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 09:00-19:00; Sun 09:00-19:00,+372 660 5002,http://soorikukohvik.ee/,https://maps.google.com/?cid=7370459906860729081,kentmanni-soorikukohvik,1,59.429270,24.754116,ChIJnemElqGUkkYR-UKxIzwiSWY
,,,Ristikheina Cafe,4.7,1217,$$,,Coffee Shop,coffee,,"Ristiku tn 57, 10320 Tallinn",10320,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 09:00-18:00; Sun 09:00-18:00,+372 660 1701,http://www.ristikheinakohvik.ee/,https://maps.google.com/?cid=1131633646339996506,ristikheina-cafe,2,59.440280,24.714437,ChIJUw1yw3-UkkYRWrv5Qc5etA8
