name,category,cuisine,rating,reviews,price,status,address,postal_code,city,phone,website,opening_hours,tags,latitude,longitude,maps_url,place_id
Osteria Moderna Itaalia Restoran,Restaurant,,4.9,415,$$,Open,Tina tn 21,10126,Tallinn,+372 5387 8848,https://www.osteriamoderna.ee/,Mon closed; Tue 16:00-21:30; Wed 16:00-21:30; Thu 16:00-21:30; Fri 16:00-22:00; Sat 16:00-22:00; Sun closed,,59.435926,24.770253,https://maps.google.com/?cid=11895670272430842404,ChIJa-HQBOOVkkYRJCJqORbpFaU
KebabRA,Fast Food Restaurant,Middle Eastern,4.9,400,$,Open,Võrgu tn 3,10415,Tallinn,+372 5665 5804,https://kebabra.ee/,Mon 11:00-22:00; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-22:00; Fri 11:00-00:00; Sat 11:00-00:00; Sun 11:00-22:00,Fast Food Restaurant; Kebab Shop; Turkish Restaurant,59.445087,24.747876,https://maps.google.com/?cid=5211109615800229839,ChIJ79iYK4iTkkYRzx9l_5WUUUg
Restaurant Purèe,Vegetarian Restaurant,Vegan / Vegetarian,4.9,245,$,Open,Rotermanni tn 2,10111,Tallinn,+372 5304 5759,https://mymenuweb.com/int/restaurants/1762773/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,Mon 09:00-16:30; Tue 09:00-16:30; Wed 09:00-16:30; Thu 09:00-16:30; Fri 09:00-17:00; Sat closed; Sun closed,Vegetarian Restaurant,59.439062,24.758346,https://maps.google.com/?cid=11201692241835621988,ChIJnSTSt2CTkkYRZH7crb5ndJs
HalaLish Telliskivi,Fast Food Restaurant,,4.9,241,$$,Open,Telliskivi tn 24,10611,Tallinn,+372 5835 7478,https://halalish.ee/,Mon 12:00-00:00; Tue 12:00-00:00; Wed 12:00-00:00; Thu 12:00-00:00; Fri 12:00-01:00; Sat 12:00-01:00; Sun 12:00-00:00,Fast Food Restaurant,59.435897,24.720951,https://maps.google.com/?cid=11299354031685095655,ChIJsU62_W6VkkYR59D3EaBez5w
Akadeemia Kohv,Coffee Shop,,4.9,214,$,Open,Akadeemia tee 24,12611,Tallinn,+372 5686 0674,https://akadeemiakohv.ee/,Mon 09:00-18:00; Tue 09:00-18:00; Wed 09:00-18:00; Thu 09:00-18:00; Fri 09:00-18:00; Sat 09:00-18:00; Sun 09:00-16:00,Coffee Shop; Banquet Hall; Dessert Shop; Cafe; Event Venue; Association Or Organization; Confectionery; Food Store,59.397313,24.666831,https://maps.google.com/?cid=16015525508568982112,ChIJI64XVgCVkkYRYCJ2nZiTQt4
Klorofüll,Restaurant,Vegan / Vegetarian,4.9,188,$$,Open,"ARS Kunstilinnak, Pärnu mnt 154, Ruum 208",11317,Tallinn,+372 5650 7996,https://linktr.ee/Klorofull_Tallinn?utm_source=linktree_profile_share&ltsid=612e2c90-a129-4a96-abfc-52d2404b3a21,Mon 11:00-19:00; Tue 11:00-19:00; Wed 11:00-19:00; Thu 11:00-19:00; Fri 11:00-19:00; Sat 11:00-17:00; Sun closed,Vegan Restaurant; Vegetarian Restaurant,59.408213,24.734119,https://maps.google.com/?cid=8933771830053702653,ChIJq5zeFe6VkkYR_Qu-ciUi-3s
Nora's Kitchen,Filipino Restaurant,Filipino,4.9,166,$$,Open,Pärnu mnt. 32,10141,Tallinn,+372 8127 5709,https://noraskitcheneesti.com/,Mon closed; Tue 11:00-20:00; Wed 11:00-20:00; Thu 11:00-20:00; Fri 11:00-20:00; Sat 11:00-20:00; Sun 11:00-20:00,Filipino Restaurant,59.430498,24.744872,https://maps.google.com/?cid=11139560434017308639,ChIJ0zHU-reTkkYR3w-Z3zGrl5o
DVIN,Restaurant,,4.9,136,$$,Open,Kopli tn 71,11713,Tallinn,+372 5814 6100,,Mon 11:00-22:00; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-22:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-23:00,,59.455384,24.679977,https://maps.google.com/?cid=7321235581244264135,ChIJ87gTW--TkkYRx84DufhAmmU
Tuletorn Brewing,Brewpub,,4.9,132,$$,Open,Marati tn 5,11712,Tallinn,+372 5860 5504,https://tuletorn.beer/,Mon closed; Tue closed; Wed 17:00-22:00; Thu 17:00-22:00; Fri 17:00-23:00; Sat 14:00-23:00; Sun 14:00-18:00,Brewpub; Pub; Bar,59.456132,24.674932,https://maps.google.com/?cid=10202453870348513600,ChIJLUD23_KTkkYRQLFue71llo0
Bagus Bali,Indonesian Restaurant,Indonesian,4.9,117,$,Open,Raudtee tn 15,11621,Tallinn,+372 5687 6131,https://www.facebook.com/p/Bagus-Bali-61571619090499/,Mon closed; Tue 12:00-19:00; Wed 12:00-19:00; Thu 12:00-19:00; Fri 12:00-20:00; Sat 12:00-20:00; Sun closed,Indonesian Restaurant,59.385906,24.686810,https://maps.google.com/?cid=2623149960498310110,ChIJL9dJDgCVkkYR3usUtP1MZyQ
Casamia Pizza Tallinn,Pizza Restaurant,Pizza,4.9,109,$$,Temporarily closed,Tartu mnt 13,10145,Tallinn,+372 515 1648,https://casamiapizza.ee/,,Pizza Restaurant; Pizza Delivery; Meal Delivery; Food Delivery,59.434204,24.761420,https://maps.google.com/?cid=10818823657633779466,ChIJczxmWFWTkkYRCo_ayMsuJJY
Foodstudio Kitchen OÜ,Restaurant,,4.9,104,,Open,Telliskivi tn 60a-7,10142,Tallinn,+372 655 6300,https://foodstudio.ee/,,,59.438585,24.728140,https://maps.google.com/?cid=2778007577379218643,ChIJqwOvNmeTkkYR0yQIUSx3jSY
Balagan,Middle Eastern Restaurant,Middle Eastern,4.9,97,$$,Open,Kalma tn 11,10411,Tallinn,+372 512 5064,http://balagan.st/,Mon closed; Tue 10:00-21:00; Wed 10:00-21:00; Thu 10:00-21:00; Fri 10:00-21:00; Sat 10:00-21:00; Sun 10:00-21:00,Middle Eastern Restaurant,59.443323,24.734787,https://maps.google.com/?cid=2703532413529299834,ChIJH24JGYaTkkYRehsr-2fghCU
Lokaal Tilk,Bar,Vegan / Vegetarian,4.9,96,$$,Temporarily closed,Pärnu mnt. 66,10135,Tallinn,+372 5646 3525,https://www.tilk.ee/,,Bar; Vegan Restaurant; Vegetarian Restaurant; Catering Service; Food Delivery; Event Venue; Association Or Organization; Service,59.424962,24.742078,https://maps.google.com/?cid=15413401173509708888,ChIJXb8dqWGVkkYRWJyiH7Rm59U
VÕIVÕI Vanalinn,Restaurant,,4.9,85,$$$,Open,Dunkri tn 8,10123,Tallinn,+372 558 8335,https://voivoi.ee/vanalinn,Mon 12:00-00:00; Tue 12:00-00:00; Wed 12:00-00:00; Thu 12:00-00:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-00:00,,59.436968,24.743297,https://maps.google.com/?cid=2026828797879516426,ChIJb4FCEJmTkkYRCv0jlg2-IBw
Veska Söök ja Kook kohvik,Restaurant,,4.9,81,$,Open,Mustjõe tn 43,10617,Tallinn,+372 5612 2156,http://www.veska.ee/,Mon 08:30-15:00; Tue 08:30-15:00; Wed 08:30-15:00; Thu 08:30-15:00; Fri 08:30-15:00; Sat closed; Sun closed,,59.423820,24.684939,https://maps.google.com/?cid=12242521389811524425,ChIJGxeLmCyVkkYRSWPWIlcs5qk
Pastalicious,Restaurant,,4.9,80,$$,Open,Türi tn 7,11314,Tallinn,+372 5889 8654,,Mon closed; Tue 12:00-19:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-22:00; Sat 15:00-21:00; Sun closed,,59.409606,24.742414,https://maps.google.com/?cid=14098388482821085546,ChIJYbmNIaCVkkYRalkC8KCJp8M
F.Resto,Restaurant,,4.9,64,$$,Open,Võrgu tn 3,10415,Tallinn,+372 5385 5502,http://www.fresto.ee/,Mon closed; Tue 17:00-23:00; Wed 17:00-23:00; Thu 17:00-23:00; Fri 17:00-23:00; Sat 11:00-23:00; Sun 11:00-19:00,,59.445171,24.747783,https://maps.google.com/?cid=17279733356591261745,ChIJmRp9egCTkkYRMSgXle_xze8
Porgandipomm Bakery,Dessert Restaurant,,4.9,62,$,Open,Manufaktuuri t. 7/1,10412,Tallinn,+372 5812 3916,https://www.facebook.com/porgandipomm,Mon closed; Tue closed; Wed 10:00-18:00; Thu 10:00-18:00; Fri 10:00-18:00; Sat 10:00-18:00; Sun 10:00-17:00,Dessert Restaurant; Bakery; Coffee Shop; Food Store; Cafe,59.449157,24.703142,https://maps.google.com/?cid=10589207881341950414,ChIJ0bkm32uTkkYRzlknzHZs9JI
A.JU restoran,Restaurant,,4.9,54,$$$$,Open,Tartu mnt 82,10112,Tallinn,+372 5322 5165,https://ajuresto.ee/,Mon closed; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 17:00-00:00; Sat 17:00-00:00; Sun closed,,59.425625,24.780571,https://maps.google.com/?cid=3172423627057452249,ChIJlVe3qbWVkkYR2dTQB3u2Biw
Sepa Terrass Papa grilliga,Family Restaurant,,4.9,54,$,Open,Sepa tn 19,11712,Tallinn,+372 5358 0004,,Mon 11:00-15:00; Tue 11:00-15:00; Wed 11:00-15:00; Thu 11:00-15:00; Fri 11:00-15:00; Sat closed; Sun closed,Family Restaurant,59.460676,24.676537,https://maps.google.com/?cid=9531703158499848764,ChIJB0AC_W6TkkYRPDLagoVpR4Q
"Marok'Est OB French Tacos and Burgers ""Halal""",Fast Food Restaurant,,4.9,52,,Temporarily closed,Keevise 9-OB Keevise 9-OB,11415,Tallinn,+372 502 0048,http://instagram.com/marokest_ob?utm_source=qr,,Fast Food Restaurant,59.420162,24.799971,https://maps.google.com/?cid=14450070830853280600,ChIJDw5nyzvrkkYRWFM-ZNz2iMg
My Asian Foods,Asian Restaurant,Asian,4.9,45,$,Open,Tuukri tn 19,10152,Tallinn,+372 5688 6479,,Mon 11:00-23:00; Tue 11:00-23:00; Wed 11:00-23:00; Thu 11:00-23:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-23:00,Asian Restaurant,59.440952,24.774363,https://maps.google.com/?cid=15837985675486147265,ChIJoeZNVwCTkkYRwbITAQ_Uy9s
Amijami Sushi Põhja-Tallinn,Sushi Restaurant,Japanese,4.9,37,$$,Open,Marati tn 4a-1,11712,Tallinn,+372 5835 7555,https://www.amijami.ee/,Mon 11:30-22:00; Tue 11:30-22:00; Wed 11:30-22:00; Thu 11:30-22:00; Fri 11:30-22:00; Sat 11:30-22:00; Sun 11:30-22:00,Sushi Restaurant; Japanese Restaurant,59.457091,24.674147,https://maps.google.com/?cid=8949552863921258394,ChIJeZ4DN4mTkkYRmj-buOkyM3w
The Naturist Street Food Wonderland,Vegan Restaurant,Vegan / Vegetarian,4.9,37,$,Temporarily closed,Telliskivi tn 60m,10412,Tallinn,,,,Vegan Restaurant; Vegetarian Restaurant,59.439599,24.730882,https://maps.google.com/?cid=17401964077583034799,ChIJ3_UcDjyVkkYRr-lxBiEygPE
Kebabi Plaza Liivalaia,Kebab Shop,Middle Eastern,4.9,35,$,Open,Liivalaia tn 32,10118,Tallinn,,https://www.instagram.com/kebabiplaza/,Mon 10:00-19:00; Tue 10:00-19:00; Wed 10:00-19:00; Thu 10:00-19:00; Fri 10:00-19:00; Sat closed; Sun closed,Kebab Shop; Fast Food Restaurant; Turkish Restaurant,59.428972,24.755778,https://maps.google.com/?cid=15536089082872798020,ChIJe2lxTQCVkkYRRBt1B7VGm9c
Little Thai Kitchen in Estonia,Thai Restaurant,Thai,4.9,31,$,Temporarily closed,Kopli tee 36,75312,Peetri,,,,Thai Restaurant,59.397425,24.797578,https://maps.google.com/?cid=6052631505431129597,ChIJBb_QBr_rkkYR_W2PNUlE_1M
Elmans Bite's,Restaurant,,4.9,28,$,Open,Kopli tn 4,10411,Tallinn,+372 5382 6600,https://www.facebook.com/profile.php?id=61576176623275&sk=about,Mon closed; Tue closed; Wed 14:00-00:00; Thu 14:00-02:30; Fri 14:00-04:00; Sat 16:00-04:00; Sun 13:00-00:00,,59.441622,24.737450,https://maps.google.com/?cid=8313120603642278234,ChIJ--NPDdSTkkYRWjEU6yQjXnM
Restaurant Rataskaevu 16,Restaurant,,4.8,6587,,Open,Rataskaevu tn 16,10123,Tallinn,+372 642 4025,http://rataskaevu16.ee/,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-23:00,,59.436926,24.742430,https://maps.google.com/?cid=769019694017834454,ChIJAcfoe2KTkkYR1m02V1YbrAo
Vegan Restoran V,Vegan Restaurant,Vegan / Vegetarian,4.8,3245,$$,Open,Rataskaevu tn 12,10123,Tallinn,+372 626 9087,http://www.veganrestoran.ee/,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-23:00,Vegan Restaurant; Vegetarian Restaurant,59.437158,24.742531,https://maps.google.com/?cid=3596886369407509786,ChIJofpVY2KTkkYRGqX6iRi16jE
RØST Bakery,Bakery,,4.8,3041,$,Open,Rotermanni tn 14,10111,Tallinn,+372 5622 3239,https://rost.ee/,,Bakery,59.439123,24.758244,https://maps.google.com/?cid=11814469129852094720,ChIJP73vtWCTkkYRAAmn7hNt9aM
Väike-rataskaevu​,Restaurant,,4.8,1546,$$,Open,Niguliste tn 6,10123,Tallinn,+372 601 1311,http://rataskaevu16.ee/,Mon 18:00-23:00; Tue 18:00-23:00; Wed 18:00-23:00; Thu 18:00-23:00; Fri 18:00-00:00; Sat 12:00-00:00; Sun 18:00-23:00,,59.436425,24.742901,https://maps.google.com/?cid=5539592102894662136,ChIJIXcwdmKTkkYR-HGY5aqV4Ew
Restoran Mimosa,Restaurant,,4.8,1426,$$,Open,Viljandi mnt 6,11214,Tallinn,+372 631 3001,http://www.restoranmimosa.ee/,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-22:00; Sat 12:00-22:00; Sun closed,,59.391476,24.728022,https://maps.google.com/?cid=2938695815374271043,ChIJ0dFwitiUkkYRQ3JPMkZYyCg
The Kurze,Restaurant,,4.8,1220,$$,Open,Kopli tn 23,10412,Tallinn,+372 5682 2238,https://thekurze.ee/,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-21:00,Family Restaurant,59.444223,24.721698,https://maps.google.com/?cid=17296156696795361959,ChIJfcbci8STkkYRpzL7c-BKCPA
MyShisha Estonia - Mere resto,Hookah Bar,Japanese,4.8,1062,$$,Open,Mere pst 4,10111,Tallinn,+372 889 8888,http://shisha-estonia.ee/,Mon 13:00-23:00; Tue 13:00-23:00; Wed 13:00-00:00; Thu 13:00-00:00; Fri 13:00-02:00; Sat 13:00-02:00; Sun 13:00-23:00,Hookah Bar; Cocktail Bar; Sushi Restaurant; Gastropub; Bar; Live Music Venue; Event Venue; Japanese Restaurant,59.438238,24.754350,https://maps.google.com/?cid=1272603195919251775,ChIJi_xRHmGTkkYRPznLON0xqRE
Mix,Restaurant,,4.8,742,$$,Open,Vana-Posti tn 11,10146,Tallinn,+372 622 0998,http://www.mixrestoran.ee/,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-23:00,,59.435321,24.745903,https://maps.google.com/?cid=8963456619528684643,ChIJ4f4nB56UkkYRY4ShFk6YZHw
Veinirestoran Dominic,Restaurant,Italian,4.8,635,$$$,Open,Vene tn 10,10123,Tallinn,+372 641 0400,https://www.restoran.ee/,Mon 12:00-23:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun closed,Wine Bar; Italian Restaurant; European Restaurant; Bar,59.437553,24.747300,https://maps.google.com/?cid=1163440819741877401,ChIJu1VyJmKTkkYRmWTn6UJfJRA
Veg Machine,Restaurant,,4.8,631,$$,Open,Kopli tn 1,10149,Tallinn,+372 5647 6253,https://vegmachine.ee/balta/?y_source=1_MzU5NjMwNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Mon 11:00-19:45; Tue 11:00-19:45; Wed 11:00-19:45; Thu 11:00-19:45; Fri 11:00-19:45; Sat 11:00-19:45; Sun 11:00-17:45,Catering Service; Food Delivery; Service,59.441052,24.735355,https://maps.google.com/?cid=5950689044911232668,ChIJx9u64nyTkkYRnBa-gigYlVI
Rohe,Vegan Restaurant,Vegan / Vegetarian,4.8,545,$$,Open,Kopli tn 4,10416,Tallinn,+372 437 0095,http://www.rohekohvik.ee/,Mon 09:00-21:00; Tue 09:00-21:00; Wed 09:00-21:00; Thu 09:00-21:00; Fri 09:00-21:00; Sat 09:00-21:00; Sun 09:00-21:00,Vegan Restaurant; Vegetarian Restaurant,59.441249,24.738167,https://maps.google.com/?cid=16572602546247991922,ChIJx8U92MqTkkYRcoLY3DW2_eU
In The 372 - Malaysian Kitchen - A Hidden Food Paradise,Malaysian Restaurant,Malaysian,4.8,513,$$,Open,"West Annex, Kopli tn 4",10416,Tallinn,+372 5851 2800,https://www.inthe372.ee/,Mon closed; Tue 17:00-21:30; Wed 16:00-21:30; Thu 17:00-21:30; Fri 17:00-21:30; Sat 13:00-21:30; Sun 13:00-21:30,Malaysian Restaurant; Bistro,59.441226,24.737387,https://maps.google.com/?cid=444719088875878959,ChIJHYfk4bqTkkYRLzpItaf1KwY
Varkizana Kreeka tavern,Greek Restaurant,Greek,4.8,475,$$,Temporarily closed,Virbi tn 4,13629,Tallinn,+372 644 6000,https://www.facebook.com/Varkizana-Kreeka-tavern-965764546774951/,,Greek Restaurant; Mediterranean Restaurant; European Restaurant,59.440814,24.842208,https://maps.google.com/?cid=2636817514342205816,ChIJ8ezFqbjskkYReEnlD4_blyQ
KOGU Resto,Restaurant,,4.8,468,$$$,Open,Võrgu tn 6,10415,Tallinn,+372 550 1621,https://koguresto.ee/,Mon closed; Tue 17:00-23:00; Wed 17:00-23:00; Thu 17:00-23:00; Fri 17:00-23:00; Sat 12:00-23:00; Sun 12:00-20:00,,59.445393,24.747801,https://maps.google.com/?cid=8861035876254323644,ChIJFdzatuGTkkYRvJMhgi65-Ho
"Port Desina Bistroo, Pitsa, Sushi, Šašlõkk",Bistro,,4.8,456,$,Open,"Paavli 1, Kopli tn 33",10412,Tallinn,+372 5822 5654,http://www.portdesina.ee/,Mon 09:00-19:00; Tue 09:00-19:00; Wed 09:00-19:00; Thu 09:00-19:00; Fri 09:00-22:00; Sat 11:00-22:00; Sun 11:00-19:00,Bistro,59.450112,24.708478,https://maps.google.com/?cid=3338760764234988615,ChIJLa8A0V-TkkYRR_w8vjmpVS4
Shaurma Kebab Õismäe,Turkish Restaurant,Middle Eastern,4.8,453,$,Open,Õismäe tee 1c,13511,Tallinn,+372 5800 0808,https://shaurmakebab.ee/et,Mon 00:00-24:00; Tue 00:00-24:00; Wed 00:00-24:00; Thu 00:00-24:00; Fri 00:00-24:00; Sat 00:00-24:00; Sun 00:00-24:00,Turkish Restaurant; Fast Food Restaurant; Middle Eastern Restaurant,59.413139,24.654397,https://maps.google.com/?cid=11214898010542713224,ChIJW74Q0COVkkYRiCmiTlJSo5s
Alanya Grill Turkish,Turkish Restaurant,Turkish,4.8,415,$$,Temporarily closed,Keldrimäe tn 9,10113,Tallinn,+372 5668 8981,https://alanyagrill.ee/,,Turkish Restaurant,59.429873,24.766951,https://maps.google.com/?cid=2393676390006883540,ChIJRxdwJ4STkkYR1ISZlf4LOCE
Pizzer,Pizza Restaurant,Pizza,4.8,404,$$,Open,Toompuiestee 37,10149,Tallinn,+372 550 2128,https://www.facebook.com/pizzeripizza/,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-21:00; Sat 12:00-21:00; Sun 12:00-21:00,Pizza Restaurant,59.440722,24.737686,https://maps.google.com/?cid=10372499915162989789,ChIJRWkl2XyTkkYR3TQPjLeF8o8
Garden Cafe,Restaurant,,4.8,389,$$,Open,Vana-Kalamaja tn 7a,10412,Tallinn,+372 550 4900,http://www.flowergarden.ee/,Mon closed; Tue 12:00-21:00; Wed 10:00-21:00; Thu 10:00-21:00; Fri 10:00-22:00; Sat 10:00-22:00; Sun 11:00-19:00,Cafe,59.442511,24.737996,https://maps.google.com/?cid=8985909993158455547,ChIJu0KfZUCTkkYR-7DXhYddtHw
Como restoran & pizzeria,Italian Restaurant,Italian,4.8,307,$$,Open,Narva mnt 36,10120,Tallinn,+372 554 1451,http://www.comorestoran.ee/,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-00:00; Sat 12:00-00:00; Sun 12:00-22:00,Italian Restaurant; European Restaurant; Pizza Restaurant,59.438201,24.771510,https://maps.google.com/?cid=8991008083365107301,ChIJbXAHLgCTkkYRZZakJTd6xnw
SIIAM Tai söögikoht,Thai Restaurant,Thai,4.8,307,$,Open,Juurdeveo tn 27,11313,Tallinn,+372 5670 0135,http://www.siiam.ee/,Mon 11:00-19:00; Tue 11:00-19:00; Wed 11:00-19:00; Thu 11:00-19:00; Fri 11:00-19:00; Sat closed; Sun closed,Thai Restaurant,59.413277,24.745979,https://maps.google.com/?cid=359157812101125001,ChIJhVYFINCVkkYRiROYkCD8-wQ
New Thai Kalamaja,Thai Restaurant,Thai,4.8,304,$$,Open,Vana-Kalamaja tn 18,10414,Tallinn,+372 5665 3952,http://newthai.ee/,Mon 12:00-21:00; Tue 12:00-21:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-21:00; Sat 13:00-21:00; Sun 13:00-21:00,Thai Restaurant,59.443953,24.738111,https://maps.google.com/?cid=2313182755448457131,ChIJ8xcZO7uTkkYRq4cQ13UTGiA
Kooker Kadaka tee,Restaurant,,4.8,272,$,Open,Kadaka tee 5,10621,Tallinn,+372 5192 0709,https://kooker.ee/,Mon 07:30-20:00; Tue 07:30-20:00; Wed 07:30-20:00; Thu 07:30-20:00; Fri 07:30-20:00; Sat 07:30-20:00; Sun 07:30-20:00,Cafe,59.415973,24.680887,https://maps.google.com/?cid=11499699043828444775,ChIJY7lAV7WVkkYRZy5LM1ojl58
Kleo Gastro,Restaurant,,4.8,271,$$,Open,Pikk tn 37-A,10133,Tallinn,+372 524 3533,https://www.facebook.com/kleogastropub/,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu 12:00-22:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-21:00,Bar,59.439261,24.746613,https://maps.google.com/?cid=16705180628810654479,ChIJHZmHcfGTkkYRD-P-KEa51Oc
Ports Kitchen & Bar,Restaurant,,4.8,271,$$,Open,Pikk tn 36,10133,Tallinn,+372 5698 2886,https://ports.ee/,Mon 12:00-22:00; Tue 12:00-23:00; Wed 12:00-23:00; Thu 12:00-23:00; Fri 12:00-01:00; Sat 12:00-01:00; Sun 12:00-22:00,,59.439769,24.747163,https://maps.google.com/?cid=16672793497553966913,ChIJMdIrl8WTkkYRQZcli1mpYec
